Date,Global_active_power_mean,Global_active_power_sum,Global_active_power_min,Global_active_power_max,Global_active_power_std,Global_reactive_power_mean,Global_reactive_power_sum,Voltage_mean,Voltage_min,Voltage_max,Voltage_std,Global_intensity_mean,Global_intensity_max,Sub_metering_1_sum,Sub_metering_1_mean,Sub_metering_1_max,Sub_metering_2_sum,Sub_metering_2_mean,Sub_metering_2_max,Sub_metering_3_sum,Sub_metering_3_mean,Sub_metering_3_max,Sub_metering_4_sum,Sub_metering_4_mean,Sub_metering_4_max,Total_Sub_metering_sum,Total_Sub_metering_mean,Energy_per_minute_sum,Daily_Energy_kWh
2006-12-16,2.956335260115607,511.446,0.284,4.87,0.892453036204647,0.08194219653179191,14.176,236.3462427745665,231.96,243.73,2.9847490816235625,12.640462427745666,20.8,0.0,0.0,0.0,86.0,0.49710982658959535,4.0,2101.0,12.144508670520231,18.0,6337.1,36.63063583815029,68.7,8524.1,49.272254335260115,8.524099999999994,8.524099999999994
2006-12-17,2.1088998178506375,1157.786,0.206,4.464,1.046091222496699,0.16004007285974498,87.862,240.41792349726776,229.57,249.37,4.0741499567454404,8.967577413479052,19.4,0.0,0.0,0.0,276.0,0.5027322404371585,4.0,4857.0,8.846994535519126,19.0,14163.433333333332,25.79860352155434,62.766666666666666,19296.433333333334,35.148330297510626,19.29643333333331,19.29643333333331
2006-12-18,1.417952,886.22,0.202,4.788,0.9439668230806225,0.1078144,67.384,241.57091200000002,231.84,248.31,3.7522816093540867,5.93856,20.6,0.0,0.0,0.0,190.0,0.304,4.0,6301.0,10.0816,20.0,8279.333333333334,13.246933333333335,62.63333333333333,14770.333333333334,23.632533333333335,14.77033333333331,14.77033333333331
2006-12-19,0.8101262798634812,474.734,0.194,4.862,0.8156548652707297,0.09329351535836178,54.67,242.471228668942,235.16,248.89,2.8295290041326306,3.4361774744027302,20.4,0.0,0.0,0.0,291.0,0.49658703071672355,4.0,2456.0,4.191126279863481,19.0,5165.233333333334,8.81439135381115,80.93333333333334,7912.233333333334,13.502104664391354,7.912233333333313,7.912233333333313
2006-12-20,1.4353493253373315,957.378,0.202,4.824,1.2257845104572305,0.10835382308845579,72.272,242.49077961019492,234.25,249.48,3.288855326897988,6.0041979010494755,21.2,0.0,0.0,0.0,228.0,0.34182908545727136,4.0,6185.0,9.272863568215891,19.0,9543.3,14.307796101949025,75.73333333333333,15956.3,23.922488755622187,15.956299999999976,15.956299999999976
2006-12-21,0.9757869198312236,616.6973333333333,0.194,4.216,0.7807486401635578,0.09398101265822785,59.396,241.57755274261604,231.87,247.08,3.5542205276910854,4.105063291139241,17.4,0.0,0.0,0.0,209.0,0.33069620253164556,4.0,4417.0,6.988924050632911,19.0,5652.288888888889,8.943495077355838,54.3,10278.288888888888,16.263115330520392,10.278288888888865,10.278288888888865
2006-12-22,1.3606858054226474,853.15,0.202,4.978,1.1781028429098683,0.12709409888357256,79.688,241.6973524720893,233.13,248.81,3.290305734918722,5.74481658692185,21.2,0.0,0.0,0.0,160.0,0.2551834130781499,2.0,4326.0,6.899521531100478,19.0,9733.166666666666,15.523391812865496,69.73333333333333,14219.166666666666,22.678096757044123,14.219166666666643,14.219166666666643
2006-12-23,3.01757003257329,1852.788,0.21,5.172,1.2539601780120975,0.1416612377850163,86.98,240.47664495114006,233.88,247.23,2.548424932938933,12.764820846905538,21.4,0.0,0.0,0.0,198.0,0.32247557003257327,2.0,6072.0,9.889250814332248,19.0,24609.8,40.08110749185668,76.33333333333333,30879.8,50.2928338762215,30.879799999999978,30.879799999999978
2006-12-24,1.4452881355932203,852.72,0.196,4.914,1.0224315079670545,0.09731186440677966,57.414,242.06806779661017,234.72,249.27,3.2505365881413786,6.293559322033898,20.6,0.0,0.0,0.0,266.0,0.45084745762711864,4.0,2429.0,4.1169491525423725,19.0,11517.0,19.52033898305085,64.9,14212.0,24.08813559322034,14.211999999999978,14.211999999999978
2006-12-25,1.3784652908067543,734.722,0.202,4.568,0.8817084797414019,0.15124953095684804,80.616,244.46600375234522,237.08,250.62,2.9076092121901445,5.705816135084428,19.0,0.0,0.0,0.0,169.0,0.3170731707317073,4.0,1767.0,3.3151969981238274,19.0,10309.366666666667,19.34215134459037,75.13333333333334,12245.366666666667,22.974421513445904,12.245366666666646,12.245366666666646
2006-12-26,2.5530816993464054,1562.486,0.418,4.762,0.8826646162264513,0.11423529411764707,69.912,241.68653594771243,234.87,248.16,3.1432273218888787,10.598692810457516,20.2,0.0,0.0,0.0,211.0,0.34477124183006536,4.0,5649.0,9.230392156862745,19.0,20181.433333333334,32.97619825708061,69.16666666666667,26041.433333333334,42.55136165577342,26.04143333333331,26.04143333333331
2006-12-27,1.069957264957265,751.11,0.21,4.678,0.8272717088958391,0.1280997150997151,89.926,243.79413105413107,235.6,251.69,3.7331138822866836,4.549572649572649,20.0,0.0,0.0,0.0,155.0,0.2207977207977208,2.0,3428.0,4.883190883190883,19.0,8935.5,12.728632478632479,70.1,12518.5,17.83262108262108,12.518499999999975,12.518499999999975
2006-12-28,1.0524470989761092,616.734,0.218,4.774,0.9238036706914639,0.1410307167235495,82.644,243.6910580204778,233.94,250.66,3.550800161183645,4.465870307167235,19.8,0.0,0.0,0.0,140.0,0.23890784982935154,4.0,3326.0,5.675767918088737,19.0,6812.9,11.626109215017065,77.6,10278.9,17.540784982935154,10.278899999999979,10.278899999999979
2006-12-29,1.908996632996633,1133.944,0.216,5.02,1.0425462942744257,0.13280808080808082,78.888,241.8541414141414,231.37,250.11,4.279983572355261,7.993265993265993,21.0,0.0,0.0,0.0,183.0,0.30808080808080807,4.0,4477.0,7.537037037037037,20.0,14239.066666666668,23.97149270482604,65.83333333333333,18899.066666666666,31.81661054994388,18.899066666666645,18.899066666666645
2006-12-30,1.2569160305343512,658.624,0.204,4.686,1.1159108227161159,0.18017175572519084,94.41,241.85696564885498,229.78,249.96,4.285173664771355,5.379770992366412,20.8,0.0,0.0,0.0,220.0,0.4198473282442748,4.0,3492.0,6.66412213740458,19.0,7265.066666666667,13.864631043256997,75.3,10977.066666666668,20.948600508905855,10.977066666666646,10.977066666666646
2006-12-31,2.480767616191904,1654.672,0.206,5.098,1.1304095772254612,0.10688155922038982,71.29,239.75148425787106,231.23,248.14,3.45565407570965,10.427886056971513,21.4,0.0,0.0,0.0,162.0,0.24287856071964017,2.0,3119.0,4.67616191904048,19.0,24296.866666666665,36.42708645677161,81.3,27577.866666666665,41.34612693653173,27.57786666666664,27.57786666666664
2007-01-01,1.90751212553495,1337.166,0.204,3.538,0.9029339583087159,0.10311840228245364,72.286,240.16961483594864,234.69,246.3,2.2474967014136404,7.906134094151212,14.6,0.0,0.0,0.0,195.0,0.2781740370898716,2.0,2924.0,4.171184022824536,19.0,19167.1,27.342510699001423,50.266666666666666,22286.1,31.791868758915832,22.286099999999973,22.286099999999973
2007-01-02,0.8423063328424154,571.926,0.358,2.768,0.6616067778073785,0.12209131075110458,82.9,242.17064801178202,235.34,250.02,2.704905767985244,3.5357879234167897,12.0,0.0,0.0,0.0,143.0,0.2106038291605302,2.0,2938.0,4.326951399116347,19.0,6451.1,9.500883652430044,31.733333333333334,9532.1,14.038438880706922,9.532099999999975,9.532099999999975
2007-01-03,0.7128222222222221,513.232,0.23,5.182,0.5734539634392691,0.13750833333333334,99.006,243.52030555555555,238.57,248.53,2.221437822289905,3.0530555555555554,21.2,0.0,0.0,0.0,201.0,0.2791666666666667,2.0,2264.0,3.1444444444444444,19.0,6088.866666666667,8.45675925925926,68.36666666666666,8553.866666666667,11.88037037037037,8.553866666666638,8.553866666666638
2007-01-04,1.9147406082289802,1070.34,0.26,4.254,0.8076182352803435,0.12613595706618963,70.51,240.10053667262972,234.4,247.35,2.3773918116628834,7.988550983899822,18.2,0.0,0.0,0.0,223.0,0.39892665474060823,4.0,3682.0,6.5867620751341684,19.0,13934.0,24.926654740608228,53.43333333333334,17839.0,31.912343470483005,17.838999999999977,17.838999999999977
2007-01-05,1.762,1145.3,0.222,4.226,0.9114922761557144,0.12243076923076923,79.58,240.78336923076924,232.18,247.64,2.9311290654687268,7.365230769230768,17.6,0.0,0.0,0.0,175.0,0.2692307692307692,2.0,2815.0,4.3307692307692305,19.0,16098.333333333334,24.76666666666667,52.43333333333334,19088.333333333332,29.366666666666664,19.08833333333331,19.08833333333331
2007-01-06,0.907561403508772,620.772,0.236,4.346,0.7012756797061827,0.12260818713450293,83.864,239.8822514619883,231.26,247.91,3.4423291624406644,3.9304093567251464,18.6,0.0,0.0,0.0,164.0,0.23976608187134502,2.0,2139.0,3.1271929824561404,19.0,8043.2,11.75906432748538,71.43333333333334,10346.2,15.126023391812867,10.346199999999977,10.346199999999977
2007-01-07,0.9685166051660518,524.936,0.24,3.988,0.8842169247215614,0.14955350553505536,81.058,242.34745387453876,231.82,248.98,3.8392907651283297,4.1690036900369005,17.2,0.0,0.0,0.0,230.0,0.42435424354243545,4.0,3570.0,6.586715867158672,19.0,4948.933333333333,9.130873308733088,46.233333333333334,8748.933333333332,16.14194341943419,8.748933333333314,8.748933333333314
2007-01-08,1.5164538577912254,1002.376,0.216,4.97,0.9036355257502738,0.14368229954614223,94.974,239.6565506807867,232.16,246.05,2.826357205638883,6.392738275340394,21.2,0.0,0.0,0.0,224.0,0.3388804841149773,2.0,7827.0,11.841149773071104,19.0,8655.266666666666,13.094200706001008,68.16666666666667,16706.266666666666,25.27423096318709,16.706266666666643,16.706266666666643
2007-01-09,0.9590068728522337,558.142,0.202,5.042,0.7877073095131385,0.13524054982817868,78.71,240.8248969072165,233.54,247.28,2.4925759452931624,4.087628865979381,21.2,0.0,0.0,0.0,212.0,0.3642611683848797,4.0,3623.0,6.225085910652921,19.0,5467.366666666667,9.39410080183276,67.03333333333333,9302.366666666667,15.983447880870562,9.302366666666645,9.302366666666645
2007-01-10,1.3114937106918239,834.11,0.212,4.674,1.105690273567939,0.15821698113207547,100.626,241.15797169811322,231.95,247.91,3.3101884437378697,5.580817610062893,20.2,0.0,0.0,0.0,310.0,0.48742138364779874,4.0,4659.0,7.3254716981132075,19.0,8932.833333333334,14.045335429769393,60.900000000000006,13901.833333333334,21.8582285115304,13.901833333333311,13.901833333333311
2007-01-11,1.3253965785381028,852.23,0.21,5.014,1.2459543389525278,0.15421150855365476,99.158,241.61482115085533,232.61,248.58,3.1580741238946963,5.632659409020218,21.4,0.0,0.0,0.0,227.0,0.35303265940902023,4.0,4943.0,7.687402799377916,19.0,9033.833333333334,14.04950751684811,66.56666666666666,14203.833333333334,22.089942975635044,14.203833333333309,14.203833333333309
2007-01-12,1.0238421851289834,674.712,0.206,5.108,0.9288184012351549,0.13843095599393018,91.226,241.48415781487103,234.53,247.96,2.537999777122456,4.34597875569044,21.4,0.0,0.0,0.0,200.0,0.30349013657056145,2.0,3799.0,5.764795144157815,19.0,7246.2,10.995751138088012,69.53333333333333,11245.2,17.06403641881639,11.245199999999974,11.245199999999974
2007-01-13,1.405266968325792,621.128,0.212,4.876,1.13790932382443,0.17511312217194572,77.4,240.66717194570137,231.87,246.67,3.23930837391918,5.957918552036199,21.4,0.0,0.0,0.0,177.0,0.4004524886877828,4.0,3036.0,6.868778280542986,19.0,7139.133333333333,16.15188536953243,68.0,10352.133333333333,23.421116138763196,10.352133333333319,10.352133333333319
2007-01-14,1.8020615942028984,994.7379999999999,0.206,4.646,1.1038735575440708,0.14867391304347827,82.068,239.06349637681157,229.86,244.61,2.938297145033031,7.765942028985507,20.2,0.0,0.0,0.0,189.0,0.3423913043478261,4.0,4382.0,7.938405797101449,19.0,12007.966666666667,21.753562801932368,73.53333333333333,16578.966666666667,30.03435990338164,16.57896666666665,16.57896666666665
2007-01-15,1.3700126382306477,867.218,0.21,4.826,0.8508947337604624,0.12002843601895734,75.978,241.58470774091626,232.54,247.35,2.932537882964035,5.74913112164297,21.0,0.0,0.0,0.0,149.0,0.2353870458135861,4.0,6340.0,10.015797788309637,19.0,7964.633333333333,12.582359136387572,63.43333333333334,14453.633333333333,22.833543970510796,14.45363333333331,14.45363333333331
2007-01-16,1.1322823529411765,673.708,0.212,4.898,0.9164227485987769,0.11735462184873949,69.826,241.95067226890757,234.69,248.32,2.8188542491468804,4.798319327731092,21.2,0.0,0.0,0.0,224.0,0.3764705882352941,4.0,2959.0,4.973109243697479,19.0,8045.466666666666,13.521792717086834,64.63333333333334,11228.466666666667,18.871372549019608,11.228466666666646,11.228466666666646
