Year_Month,Global_active_power_mean,Global_active_power_sum,Global_active_power_std,Voltage_mean,Global_intensity_mean,Sub_metering_1_sum,Sub_metering_1_mean,Sub_metering_2_sum,Sub_metering_2_mean,Sub_metering_3_sum,Sub_metering_3_mean,Sub_metering_4_sum,Sub_metering_4_mean,Total_Sub_metering_sum,Total_Sub_metering_mean,Energy_per_minute_sum
2006-12,1.645858348597493,15275.211333333333,1.206009666288692,241.87591351506663,6.944079301799375,0.0,0.0,3144.0,0.33875659950436376,64402.0,6.939122939338433,187040.85555555555,20.153092937782088,254586.85555555555,27.430972476624884,254.58685555555522
2007-01,1.2833520397378988,24286.154,0.9888550133465823,241.34482667512154,5.4283238216021985,0.0,0.0,5759.0,0.30432255337138026,122118.0,6.453075459733672,276892.23333333334,14.631802649193265,404769.23333333334,21.389200662298315,404.76923333333264
2007-02,1.1430819462227915,19640.434,1.0147065597497373,240.84129088581074,4.818100337562566,0.0,0.0,5687.0,0.33098591549295775,102470.0,5.963799324874869,219183.56666666668,12.756580530012029,327340.56666666665,19.051365770379853,327.34056666666606
2007-03,0.9940693260473589,18191.468666666668,0.8879637412014287,241.0129378870674,4.187049180327869,0.0,0.0,6994.0,0.38218579234972677,104494.0,5.710054644808743,191703.14444444445,10.475581663630845,303191.14444444445,16.567822100789314,303.19114444444375
2007-04,0.6892960193081255,13268.948371681416,0.6957242168996094,239.15516652018403,2.974345363298541,0.0,0.0,6715.0,0.3488311688311688,75442.0,3.919064935064935,138992.1395280236,7.220370884572655,221149.1395280236,11.488266988468759,221.14913952802289
2007-05,0.7243970867981956,13328.182,0.6523355652486056,235.48327082993643,3.162084895918256,0.0,0.0,7241.0,0.39355399749986414,83306.0,4.52774607315615,131589.36666666667,7.151984709313912,222136.36666666667,12.073284779969926,222.136366666666
2007-06,0.6011710735565176,10946.122907317073,0.5812422802704725,239.13468655696775,2.6382208838784345,0.0,0.0,9677.317073170732,0.5314870976038407,67812.70731707317,3.724335858802349,104945.35739837398,5.7636949362024374,182435.38178861787,10.019517892608627,182.43538178861724
2007-07,0.5007770307377577,9576.859935828877,0.5254144634120106,237.91123072109184,2.23060379515842,0.0,0.0,7009.166443850268,0.36651152707855406,57071.0,2.984260614934114,95534.16581996434,4.995511703616625,159614.3322638146,8.346283845629292,159.61433226381394
2007-08,0.5980459007645528,11818.583090909091,0.6347381051991418,238.08738745618314,2.6039460488908923,0.0,0.0,4258.0,0.2154640218601356,87788.63636363637,4.4422951302315745,104930.64848484848,5.309718069266698,196977.28484848485,9.967477221358408,196.97638484848414
2007-09,0.7324153795953883,13467.654,0.7503102621544256,239.72556939308242,3.1664346312812706,0.0,0.0,9172.0,0.4988035675440505,84013.0,4.568903632804003,131275.9,7.139215792908418,224460.9,12.206922993256471,224.46089999999933
2007-10,0.8487479785781792,16165.254,0.7695943688631256,240.04241573033707,3.590381182400504,0.0,0.0,6061.0,0.3182295495117085,94233.0,4.9476530505092935,169126.9,8.87991704294865,269420.9,14.145799642969653,269.4208999999993
2007-11,1.034551859526666,18971.612,0.8758315688972615,241.1925700730723,4.341814810775439,0.0,0.0,4977.0,0.2714036427091286,115371.0,6.291362198713055,195845.53333333333,10.679765150688915,316193.5333333333,17.2425309921111,316.19353333333265
